day,count
2020-07-26,3423
2020-07-27,5956
2020-07-28,6520
2020-07-29,6910
2020-07-30,6905
2020-07-31,6342
2020-08-01,5275
2020-08-02,4654
2020-08-03,5090
2020-08-04,5320
2020-08-05,5204
2020-08-06,5551
2020-08-07,5161
2020-08-08,4278
2020-08-09,4290
2020-08-10,4824
2020-08-11,4957
2020-08-12,4193
2020-08-13,4928
2020-08-14,4206
2020-08-15,3207
2020-08-16,2781
2020-08-17,3911
2020-08-18,4714
2020-08-19,3714
2020-08-20,2940
2020-08-21,2968
2020-08-22,2839
2020-08-23,3855
2020-08-24,3530
2020-08-25,3858
2020-08-26,3812
2020-08-27,3644
2020-08-28,4079
2020-08-29,2740
2020-08-30,2602
2020-08-31,3427
2020-09-01,3354
2020-09-02,4128
2020-09-03,4026
2020-09-04,3110
2020-09-05,2315
2020-09-06,1830
2020-09-07,2393
2020-09-08,3220
2020-09-09,4728
2020-09-10,6153
2020-09-11,3924
2020-09-12,3100
2020-09-13,3105
2020-09-14,3480
2020-09-15,3115
2020-09-16,3637
2020-09-17,4626
2020-09-18,3692
2020-09-19,1861
2020-09-20,1966
2020-09-21,2646
2020-09-22,3842
2020-09-23,3773
2020-09-24,2821
2020-09-25,2536
2020-09-26,2288
2020-09-27,1723
2020-09-28,1991
2020-09-29,3119
2020-09-30,2797
2020-10-01,2567
2020-10-02,10927
2020-10-03,8577
2020-10-04,5647
2020-10-05,7194
2020-10-06,7944
2020-10-07,5826
2020-10-08,5369
2020-10-09,4065
2020-10-10,3928
2020-10-11,3425
2020-10-12,3423
2020-10-13,3795
2020-10-14,3366
2020-10-15,2991
2020-10-16,2753
2020-10-17,2742
2020-10-18,2718
2020-10-19,3056
2020-10-20,2926
2020-10-21,3583
2020-10-22,3376
2020-10-23,4262
2020-10-24,3916
2020-10-25,5122
2020-10-26,4123
2020-10-27,3848
2020-10-28,4902
2020-10-29,3942
2020-10-30,4949
2020-10-31,4253
2020-11-01,3231
2020-11-02,2870
2020-11-03,2759
2020-11-04,2460
2020-11-05,3313
2020-11-06,3084
2020-11-07,4794
2020-11-08,2840
2020-11-09,6068
2020-11-10,4123
2020-11-11,4534
2020-11-12,5810
2020-11-13,6587
2020-11-14,4690
2020-11-15,4336
2020-11-16,5492
2020-11-17,5259
2020-11-18,6261
2020-11-19,5684
2020-11-20,5768
2020-11-21,4800
2020-11-22,3868
2020-11-23,4113
2020-11-24,3903
2020-11-25,3808
2020-11-26,3126
2020-11-27,2368
2020-11-28,2613
2020-11-29,2546
2020-11-30,3214
2020-12-01,4018
2020-12-02,3544
2020-12-03,4934
2020-12-04,3835
2020-12-05,3659
2020-12-06,3485
2020-12-07,4048
2020-12-08,5457
2020-12-09,4345
2020-12-10,4668
2020-12-11,3702
2020-12-12,4153
2020-12-13,3462
2020-12-14,4284
2020-12-15,4076
2020-12-16,3996
2020-12-17,3737
2020-12-18,4144
2020-12-19,3512
2020-12-20,3267
2020-12-21,3986
2020-12-22,4002
2020-12-23,3819
2020-12-24,2322
2020-12-25,1301
2020-12-26,1538
2020-12-27,2489
2020-12-28,2856
2020-12-29,3355
2020-12-30,5025
2020-12-31,3187
2021-01-01,2482
2021-01-02,2235
2021-01-03,2035
2021-01-04,2122
2021-01-05,2959
2021-01-06,2153
2021-01-07,1661
2021-01-08,2192
2021-01-09,1717
2021-01-10,1468
2021-01-11,2052
2021-01-12,3080
2021-01-13,2319
2021-01-14,2105
2021-01-15,2626
2021-01-16,2124
2021-01-17,1638
2021-01-18,1700
2021-01-19,2370
2021-01-20,2059
2021-01-21,2430
2021-01-22,2516
2021-01-23,1853
2021-01-24,1970
2021-01-25,2241
2021-01-26,2266
2021-01-27,2347
2021-01-28,2302
2021-01-29,2117
2021-01-30,1844
2021-01-31,1801
2021-02-01,1824
2021-02-02,1760
2021-02-03,1867
2021-02-04,1853
2021-02-05,1909
2021-02-06,1541
2021-02-07,1297
2021-02-08,1580
2021-02-09,1532
2021-02-10,1758
2021-02-11,1912
2021-02-12,1841
2021-02-13,1137
2021-02-14,1070
2021-02-15,1253
2021-02-16,1331
2021-02-17,1596
2021-02-18,1593
2021-02-19,1504
2021-02-20,1167
2021-02-21,1217
2021-02-22,1588
2021-02-23,1848
2021-02-24,1774
2021-02-25,430
